CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Germany,Spain,Male
619,42,2,0,1,1,1,101348.88,1,0,0,0
608,41,1,83807.86,1,0,1,112542.58,0,0,1,0
502,42,8,159660.8,3,1,0,113931.57,1,0,0,0
699,39,1,0,2,0,0,93826.63,0,0,0,0
850,43,2,125510.82,1,1,1,79084.1,0,0,1,0
645,44,8,113755.78,2,1,0,149756.71,1,0,1,1
822,50,7,0,2,1,1,10062.8,0,0,0,1
376,29,4,115046.74,4,1,0,119346.88,1,1,0,0
501,44,4,142051.07,2,0,1,74940.5,0,0,0,1
684,27,2,134603.88,1,1,1,71725.73,0,0,0,1
528,31,6,102016.72,2,0,0,80181.12,0,0,0,1
497,24,3,0,2,1,0,76390.01,0,0,1,1
476,34,10,0,2,1,0,26260.98,0,0,0,0
549,25,5,0,2,0,0,190857.79,0,0,0,0
635,35,7,0,2,1,1,65951.65,0,0,1,0
616,45,3,143129.41,2,0,1,64327.26,0,1,0,1
653,58,1,132602.88,1,1,0,5097.67,1,1,0,1
549,24,9,0,2,1,1,14406.41,0,0,1,0
587,45,6,0,1,0,0,158684.81,0,0,1,1
726,24,6,0,2,1,1,54724.03,0,0,0,0
732,41,8,0,2,1,1,170886.17,0,0,0,1
636,32,8,0,2,1,0,138555.46,0,0,1,0
510,38,4,0,1,1,0,118913.53,1,0,1,0
669,46,3,0,2,0,1,8487.75,0,0,0,1
846,38,5,0,1,1,1,187616.16,0,0,0,0
577,25,3,0,2,0,1,124508.29,0,0,0,1
756,36,2,136815.64,1,1,1,170041.95,0,1,0,1
571,44,9,0,2,0,0,38433.35,0,0,0,1
574,43,3,141349.43,1,1,1,100187.43,0,1,0,0
411,29,0,59697.17,2,1,1,53483.21,0,0,0,1
591,39,3,0,3,1,0,140469.38,1,0,1,0
533,36,7,85311.7,1,0,1,156731.91,0,0,0,1
553,41,9,110112.54,2,0,0,81898.81,0,1,0,1
520,42,6,0,2,1,1,34410.55,0,0,1,0
722,29,9,0,2,1,1,142033.07,0,0,1,0
475,45,0,134264.04,1,1,0,27822.99,1,0,0,0
490,31,3,145260.23,1,0,1,114066.77,0,0,1,1
804,33,7,76548.6,1,0,1,98453.45,0,0,1,1
850,36,7,0,1,1,1,40812.9,0,0,0,1
582,41,6,70349.48,2,0,1,178074.04,0,1,0,1
472,40,4,0,1,1,0,70154.22,0,0,1,1
465,51,8,122522.32,1,0,0,181297.65,1,0,0,0
556,61,2,117419.35,1,1,1,94153.83,0,0,0,0
834,49,2,131394.56,1,0,0,194365.76,1,0,0,0
660,61,5,155931.11,1,1,1,158338.39,0,0,1,0
776,32,4,109421.13,2,1,1,126517.46,0,1,0,0
829,27,9,112045.67,1,1,1,119708.21,1,1,0,0
637,39,9,137843.8,1,1,1,117622.8,1,1,0,0
550,38,2,103391.38,1,0,1,90878.13,0,1,0,1
776,37,2,103769.22,2,1,0,194099.12,0,1,0,0
698,44,10,116363.37,2,1,0,198059.16,0,1,0,1
585,36,5,146050.97,2,0,0,86424.57,0,1,0,1
788,33,5,0,2,0,0,116978.19,0,0,0,0
655,41,8,125561.97,1,0,0,164040.94,1,1,0,1
601,42,1,98495.72,1,1,0,40014.76,1,1,0,1
619,43,1,125211.92,1,1,1,113410.49,0,0,0,1
656,45,5,127864.4,1,1,0,87107.57,0,0,0,1
725,19,0,75888.2,1,0,0,45613.75,0,1,0,1
511,66,4,0,1,1,0,1643.11,1,0,1,0
614,51,4,40685.92,1,1,1,46775.28,0,0,0,1
742,35,5,136857,1,0,0,84509.57,0,1,0,1
687,27,9,152328.88,2,0,0,126494.82,0,1,0,0
555,33,1,56084.69,2,0,0,178798.13,0,0,1,1
684,56,8,78707.16,1,1,1,99398.36,0,0,1,1
603,26,4,109166.37,1,1,1,92840.67,0,1,0,1
751,36,6,169831.46,2,1,1,27758.36,0,1,0,0
581,34,1,101633.04,1,1,0,110431.51,0,1,0,0
735,43,10,123180.01,2,1,1,196673.28,0,1,0,1
661,35,5,150725.53,2,0,1,113656.85,0,1,0,0
675,21,8,98373.26,1,1,0,18203,0,0,0,0
738,58,2,133745.44,4,1,0,28373.86,1,1,0,1
813,29,6,0,1,1,0,33953.87,0,0,0,1
657,37,0,163607.18,1,0,1,44203.55,0,0,1,0
604,25,5,157780.84,2,1,1,58426.81,0,1,0,0
519,36,9,0,2,0,1,145562.4,0,0,0,1
735,21,1,178718.19,2,1,0,22388,0,0,0,0
664,55,8,0,2,1,1,139161.64,0,0,0,1
678,32,9,0,1,1,1,148210.64,0,0,0,0
757,33,5,77253.22,1,0,1,194239.63,0,0,1,1
416,41,10,122189.66,2,1,0,98301.61,0,1,0,0
665,34,1,96645.54,2,0,0,171413.66,0,0,0,0
777,32,2,0,1,1,0,136458.19,1,0,0,0
543,36,3,0,2,0,0,26019.59,0,0,0,0
506,34,4,90307.62,1,1,1,159235.29,0,0,0,0
493,46,4,0,2,1,0,1907.66,0,0,0,0
652,75,10,0,2,1,1,114675.75,0,0,1,0
750,22,3,121681.82,1,1,0,128643.35,1,0,1,1
729,30,9,0,2,1,0,151869.35,0,0,0,1
646,46,4,0,3,1,0,93251.42,1,0,0,0
635,28,3,81623.67,2,1,1,156791.36,0,1,0,0
647,44,5,0,3,1,1,174205.22,1,0,1,0
808,45,7,118626.55,2,1,0,147132.46,0,0,0,1
524,36,10,0,2,1,0,109614.57,0,0,0,0
769,29,8,0,2,1,1,172290.61,0,0,0,1
730,42,4,0,2,0,1,85982.47,0,0,1,1
515,35,10,176273.95,1,0,1,121277.78,0,0,1,1
773,41,9,102827.44,1,0,1,64595.25,0,0,1,1
814,29,8,97086.4,2,1,1,197276.13,0,1,0,1
710,22,8,0,2,0,0,99645.04,0,0,1,1
